node_id,node_name,hfis_name,beds_total,match_method,match_score,bed_breakdown_json
hospital_bellevue_hospital_center,Bellevue Hospital Center,Bellevue Hospital Center,898,exact_normalized,1.0,"{""Chemical Dependence - Detoxification"": 20.0, ""Coronary Care"": 12.0, ""Intensive Care"": 40.0, ""Maternity"": 25.0, ""Medical / Surgical"": 290.0, ""Neonatal Continuing Care"": 5.0, ""Neonatal Intensive Care"": 5.0, ""Neonatal Intermediate Care"": 15.0, ""Pediatric"": 22.0, ""Pediatric ICU"": 5.0, ""Physical Medicine and Rehabilitation"": 34.0, ""Prisoner"": 34.0, ""Psychiatric"": 325.0, ""Respiratory"": 54.0, ""Traumatic Brain Injury"": 12.0}"
hospital_north_central_bronx_hospital,North Central Bronx Hospital,North Central Bronx Hospital,213,exact_normalized,1.0,"{""Intensive Care"": 20.0, ""Maternity"": 26.0, ""Medical / Surgical"": 79.0, ""Neonatal Continuing Care"": 2.0, ""Neonatal Intensive Care"": 7.0, ""Neonatal Intermediate Care"": 3.0, ""Pediatric"": 6.0, ""Psychiatric"": 70.0}"
hospital_woodhull_medical_and_mental_health_cente,Woodhull Medical And Mental Health Center,Woodhull Medical & Mental Health Center,310,exact_normalized,1.0,"{""AIDS"": 11.0, ""Intensive Care"": 24.0, ""Maternity"": 24.0, ""Medical / Surgical"": 128.0, ""Neonatal Continuing Care"": 4.0, ""Neonatal Intensive Care"": 5.0, ""Neonatal Intermediate Care"": 5.0, ""Pediatric"": 6.0, ""Physical Medicine and Rehabilitation"": 14.0, ""Psychiatric"": 89.0}"
hospital_kings_county_hospital_center,Kings County Hospital Center,Kings County Hospital Center,624,exact_normalized,1.0,"{""Chemical Dependence - Detoxification"": 30.0, ""Coronary Care"": 8.0, ""Intensive Care"": 32.0, ""Maternity"": 30.0, ""Medical / Surgical"": 246.0, ""Neonatal Continuing Care"": 10.0, ""Neonatal Intensive Care"": 10.0, ""Neonatal Intermediate Care"": 10.0, ""Pediatric"": 28.0, ""Pediatric ICU"": 7.0, ""Physical Medicine and Rehabilitation"": 23.0, ""Psychiatric"": 190.0}"
hospital_queens_hospital_center,Queens Hospital Center,Queens Hospital Center,269,exact_normalized,1.0,"{""Intensive Care"": 16.0, ""Maternity"": 20.0, ""Medical / Surgical"": 165.0, ""Neonatal Intensive Care"": 11.0, ""Neonatal Intermediate Care"": 4.0, ""Psychiatric"": 53.0}"
hospital_coney_island_hospital,Coney Island Hospital,South Brooklyn Health,351,manual,1.0,"{""Chemical Dependence - Detoxification"": 15.0, ""Coronary Care"": 9.0, ""Intensive Care"": 21.0, ""Maternity"": 14.0, ""Medical / Surgical"": 209.0, ""Neonatal Intermediate Care"": 10.0, ""Pediatric"": 9.0, ""Psychiatric"": 64.0}"
hospital_metropolitan_hospital_center,Metropolitan Hospital Center,Metropolitan Hospital Center,338,exact_normalized,1.0,"{""Chemical Dependence - Detoxification"": 19.0, ""Coronary Care"": 6.0, ""Intensive Care"": 18.0, ""Maternity"": 20.0, ""Medical / Surgical"": 105.0, ""Neonatal Continuing Care"": 6.0, ""Neonatal Intensive Care"": 4.0, ""Neonatal Intermediate Care"": 4.0, ""Pediatric"": 14.0, ""Physical Medicine and Rehabilitation"": 20.0, ""Psychiatric"": 122.0}"
hospital_harlem_hospital_center,Harlem Hospital Center,Harlem Hospital Center,268,exact_normalized,1.0,"{""Burns Care"": 3.0, ""Coronary Care"": 6.0, ""Intensive Care"": 14.0, ""Maternity"": 13.0, ""Medical / Surgical"": 151.0, ""Neonatal Intensive Care"": 15.0, ""Pediatric"": 12.0, ""Pediatric ICU"": 3.0, ""Psychiatric"": 51.0}"
hospital_lincoln_medical_and_mental_health_center,Lincoln Medical And Mental Health Center,Lincoln Medical & Mental Health Center,362,exact_normalized,1.0,"{""Coronary Care"": 7.0, ""Intensive Care"": 23.0, ""Maternity"": 35.0, ""Medical / Surgical"": 177.0, ""Neonatal Continuing Care"": 10.0, ""Neonatal Intensive Care"": 5.0, ""Neonatal Intermediate Care"": 5.0, ""Pediatric"": 32.0, ""Pediatric ICU"": 8.0, ""Psychiatric"": 60.0}"
hospital_jacobi_medical_center,Jacobi Medical Center,Jacobi Medical Center,457,exact_normalized,1.0,"{""Burns Care"": 8.0, ""Chemical Dependence - Detoxification"": 16.0, ""Coronary Care"": 12.0, ""Intensive Care"": 24.0, ""Maternity"": 26.0, ""Medical / Surgical"": 174.0, ""Neonatal Continuing Care"": 5.0, ""Neonatal Intensive Care"": 10.0, ""Neonatal Intermediate Care"": 10.0, ""Pediatric"": 33.0, ""Pediatric ICU"": 8.0, ""Physical Medicine and Rehabilitation"": 24.0, ""Psychiatric"": 107.0}"
